5;5-10;5-20;5-40;*
6;5-10;5-20;5-40;*
7;5-10;5-20;5-40;*
8;5-10;5-20;5-40;*
9;5-10;5-20;5-40;*
10;5-10;5-20;5-40;*
11;11-15;11-20;5-20;5-40;*
12;11-15;11-20;5-20;5-40;*
13;11-15;11-20;5-20;5-40;*
14;11-15;11-20;5-20;5-40;*
15;11-15;11-20;5-20;5-40;*
16;16-20;11-20;5-20;5-40;*
17;16-20;11-20;5-20;5-40;*
18;16-20;11-20;5-20;5-40;*
19;16-20;11-20;5-20;5-40;*
20;16-20;11-20;5-20;5-40;*
21;21-25;21-30;21-40;5-40;*
22;21-25;21-30;21-40;5-40;*
23;21-25;21-30;21-40;5-40;*
24;21-25;21-30;21-40;5-40;*
25;21-25;21-30;21-40;5-40;*
26;26-30;21-30;21-40;5-40;*
27;26-30;21-30;21-40;5-40;*
28;26-30;21-30;21-40;5-40;*
29;26-30;21-30;21-40;5-40;*
30;26-30;21-30;21-40;5-40;*
31;31-35;31-40;21-40;5-40;*
32;31-35;31-40;21-40;5-40;*
33;31-35;31-40;21-40;5-40;*
34;31-35;31-40;21-40;5-40;*
35;31-35;31-40;21-40;5-40;*
36;36-40;31-40;21-40;5-40;*
37;36-40;31-40;21-40;5-40;*
38;36-40;31-40;21-40;5-40;*
39;36-40;31-40;21-40;5-40;*
40;36-40;31-40;21-40;5-40;*
41;41-45;41-50;41-60;41-80;*
42;41-45;41-50;41-60;41-80;*
43;41-45;41-50;41-60;41-80;*
44;41-45;41-50;41-60;41-80;*
45;41-45;41-50;41-60;41-80;*
46;46-50;41-50;41-60;41-80;*
47;46-50;41-50;41-60;41-80;*
48;46-50;41-50;41-60;41-80;*
49;46-50;41-50;41-60;41-80;*
50;46-50;41-50;41-60;41-80;*
51;51-55;51-60;41-60;41-80;*
52;51-55;51-60;41-60;41-80;*
53;51-55;51-60;41-60;41-80;*
54;51-55;51-60;41-60;41-80;*
55;51-55;51-60;41-60;41-80;*
56;56-60;51-60;41-60;41-80;*
57;56-60;51-60;41-60;41-80;*
58;56-60;51-60;41-60;41-80;*
59;56-60;51-60;41-60;41-80;*
60;56-60;51-60;41-60;41-80;*
61;61-65;61-70;61-80;41-80;*
62;61-65;61-70;61-80;41-80;*
63;61-65;61-70;61-80;41-80;*
64;61-65;61-70;61-80;41-80;*
65;61-65;61-70;61-80;41-80;*
66;66-70;61-70;61-80;41-80;*
67;66-70;61-70;61-80;41-80;*
68;66-70;61-70;61-80;41-80;*
69;66-70;61-70;61-80;41-80;*
70;66-70;61-70;61-80;41-80;*
71;71-75;71-80;61-80;41-80;*
72;71-75;71-80;61-80;41-80;*
73;71-75;71-80;61-80;41-80;*
74;71-75;71-80;61-80;41-80;*
75;71-75;71-80;61-80;41-80;*
76;76-80;71-80;61-80;41-80;*
77;76-80;71-80;61-80;41-80;*
78;76-80;71-80;61-80;41-80;*
79;76-80;71-80;61-80;41-80;*
80;76-80;71-80;61-80;41-80;*
